sd_cd,sd_nm,sgg_cd,sgg_nm,g_01,g_02,g_03,g_04,g_05,g_06,g_07,g_08,g_09,g_10,g_11,g_12,g_tot
41,경기도,41111,수원시 장안구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41113,수원시 권선구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41115,수원시 팔달구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41117,수원시 영통구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41131,성남시 수정구,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26,210739.26
41,경기도,41133,성남시 중원구,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13,217533.13
41,경기도,41135,성남시 분당구,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3,217442.3
41,경기도,41150,의정부시,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19,397482.19
41,경기도,41171,안양시 만안구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41173,안양시 동안구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41190,부천시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41210,광명시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41220,평택시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41250,동두천시,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83,111560.83
41,경기도,41271,안산시 상록구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41273,안산시 단원구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41281,고양시 덕양구,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61,230554.61
41,경기도,41285,고양시 일산동구,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54,138321.54
41,경기도,41287,고양시 일산서구,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04,123299.04
41,경기도,41290,과천시,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39,38552.39
41,경기도,41310,구리시,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42,155197.42
41,경기도,41360,남양주시,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93,548163.93
41,경기도,41370,오산시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41390,시흥시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41410,군포시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41430,의왕시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41450,하남시,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91,147225.91
41,경기도,41461,용인시 처인구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41463,용인시 기흥구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41465,용인시 수지구,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41480,파주시,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82,510354.82
41,경기도,41500,이천시,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86,537121.86
41,경기도,41550,안성시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41570,김포시,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02,277491.02
41,경기도,41590,화성시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41610,광주시,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27,352746.27
41,경기도,41630,양주시,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41,271632.41
41,경기도,41650,포천시,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05,102806.05
41,경기도,41670,여주시,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69,105105.69
41,경기도,41800,연천군,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53,31161.53
41,경기도,41820,가평군,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72,28623.72
41,경기도,41830,양평군,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59,36348.59
