지자체명,배출_건물_전기,배출_건물_지역난방,배출_건물_가스,탄소배출_수송,탄소흡수_산림
수원시 장안구,"6,633,735","460,565",0,"491,502","38,753"
수원시 권선구,"8,509,063","305,978",0,"880,990","8,623"
수원시 팔달구,"5,599,474","173,425",0,"334,440","1,817"
수원시 영통구,"9,428,241","1,389,085",0,"745,867","13,006"
성남시 수정구,"5,626,959","280,805","2,739,610","851,690","62,068"
성남시 중원구,"7,084,181","102,652","2,827,931","495,205","39,723"
성남시 분당구,"17,626,093","2,646,658","2,826,750","1,560,365","97,816"
의정부시,"9,359,262","226,449","5,167,268","1,058,815","102,432"
안양시 만안구,"5,915,513","80,459",0,"491,165","33,918"
안양시 동안구,"11,318,509","903,236",0,"552,626","10,872"
부천시,"22,130,473","1,231,566",0,"1,281,103","16,942"
광명시,"6,342,506",0,0,"672,840","21,955"
평택시,"43,273,677","494,792",0,"2,642,455","85,039"
동두천시,"3,229,322",0,"1,450,291","294,683","150,746"
안산시 상록구,"7,562,506","342,448",0,"1,001,278","54,557"
안산시 단원구,"39,206,040","590,600",0,"1,009,531","35,474"
고양시 덕양구,"10,513,194","1,392,344","2,997,210","1,830,497","157,478"
고양시 일산동구,"11,413,613","1,215,035","1,798,180","834,669","22,476"
고양시 일산서구,"6,726,228","1,166,893","1,602,888","638,390","1,211"
과천시,"1,963,837","237,375","501,181","320,172","51,828"
구리시,"4,583,399","78,106","2,017,566","671,871","22,793"
남양주시,"18,622,540","424,059","7,126,131","2,057,256","706,389"
오산시,"8,398,119","418,732",0,"708,316","16,475"
시흥시,"26,668,140","634,387",0,"2,432,850","63,112"
군포시,"8,838,311","715,656",0,"608,031","41,018"
의왕시,"4,954,650","291,358",0,"786,457","82,242"
하남시,"8,522,306","758,390","1,913,937","981,588","120,244"
용인시 처인구,"15,833,000",0,0,"1,600,549","555,999"
용인시 기흥구,"20,492,532","1,391,196",0,"1,597,749","75,827"
용인시 수지구,"7,910,161","1,578,450",0,"643,511","62,318"
파주시,"53,779,979","709,658","6,634,613","1,662,787","70,373"
이천시,"49,674,151",0,"6,982,584","1,316,887","350,238"
안성시,"18,746,261",0,0,"1,411,928","503,119"
김포시,"24,012,218","847,752","3,607,383","1,627,901","20,712"
화성시,"119,661,866","2,070,561",0,"4,080,934","272,050"
광주시,"15,495,876",0,"4,585,702","1,640,382","705,458"
양주시,"12,508,367","241,705","3,531,221","1,140,182","327,529"
포천시,"14,604,502",0,"1,336,479","856,550","1,182,949"
여주시,"7,445,533",0,"1,366,374","1,067,325","552,902"
연천군,"2,507,543",0,"405,100","214,979","85,083"
가평군,"3,639,043",0,"372,108","487,463","1,818,824"
양평군,"5,023,324",0,"472,532","653,934","1,523,335"
